seriesID,year,period,value,footnotes,month,date
LNU04000000,2021,M04,5.7,,4,2021-04-01
LNU04000000,2021,M03,6.2,,3,2021-03-01
LNU04000000,2021,M02,6.6,,2,2021-02-01
LNU04000000,2021,M01,6.8,,1,2021-01-01
LNU04000000,2020,M12,6.5,,12,2020-12-01
LNU04000000,2020,M11,6.4,,11,2020-11-01
LNU04000000,2020,M10,6.6,,10,2020-10-01
LNU04000000,2020,M09,7.7,,9,2020-09-01
LNU04000000,2020,M08,8.5,,8,2020-08-01
LNU04000000,2020,M07,10.5,,7,2020-07-01
LNU04000000,2020,M06,11.2,,6,2020-06-01
LNU04000000,2020,M05,13.0,,5,2020-05-01
LNU04000000,2020,M04,14.4,,4,2020-04-01
LNU04000000,2020,M03,4.5,,3,2020-03-01
LNU04000000,2020,M02,3.8,,2,2020-02-01
LNU04000000,2020,M01,4.0,,1,2020-01-01
